ID;start;end;code;group;text;code2;R;G;B
1517;3233,09718;3263,812292;Aanvallen;Naar zone;M2 NEC;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1517;3233,09718;3263,812292;Aanvallen;Van speler;gAAAAABYrzOVVjgzqrniLlC2aFPW4Xv96b4-rvg7GLDMslniONPuTLWyXdO9xcavnvNAal19pd0vCx6g2XhrivSUoIagNcxAOw==;;;;
1517;3233,09718;3263,812292;Aanvallen;Aanvallen NEC;Indribbelen;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar zone;M3 NEC;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1517;3233,09718;3263,812292;Aanvallen;Van speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar zone;L4 NEC;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1517;3233,09718;3263,812292;Aanvallen;Van speler;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar zone;M4 NEC;;;;
1517;3233,09718;3263,812292;Aanvallen;Naar speler;gAAAAABYrzOVpwR4hkBRLRWokYEEu0m9qFQAssyS37xKGhlicvfYTrDj38_DYpmlTDAoSTQJL7z6RI2a8qLkKhuDpQ8UhpOSug==;;;;
1517;3233,09718;3263,812292;Aanvallen;Van speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1517;3233,09718;3263,812292;Aanvallen;;Kans;;;;
